id;species;category;light;difficulty;humidity;temperature;toxicity;cycle;waterSummer;waterWinter;fertilizeFreq;repotFreq;sowingMonths;plantingMonths;harvestMonths;repottingMonths;pruningMonths;winteringMonths;soilInfo;pruningInfo
582;Poire de Terre;vegetable;partial;easy;medium;frostTender;none;perennial;10;0;0;0;;4,5;11;;;;Riche.;Tubercules croquants et sucrés comme une poire/melon. Stocker hors gel l'hiver.
583;Claytone de Cuba;vegetable;partial;easy;medium;hardy;none;annual;5;0;0;0;7,8,9;;11,12,1,2,3;;;;Frais.;Salade d'hiver douce et charnue. Résiste bien au froid.
584;Moutarde de Chine;vegetable;direct;easy;medium;hardy;none;annual;5;0;0;0;3,4,8,9;;5,6,10,11;;;;Frais.;Feuilles au goût piquant de moutarde. Pousse très vite.
585;Mizuna;vegetable;partial;easy;medium;hardy;none;annual;5;0;0;0;3,4,8,9;;5,6,10,11;;;;Frais.;Chou japonais à feuilles découpées, goût doux. Idéal en mesclun.
586;Tatsoi;vegetable;partial;easy;medium;veryHardy;none;annual;5;0;0;0;8,9;;10,11,12,1;;;;Frais.;Petites feuilles vert foncé en rosette plate. Très résistant au froid.
587;Angélique;vegetable;partial;medium;high;veryHardy;none;biennial;10;0;0;0;7,8;3,4;5,6;;9;;Humide et profond.;Plante géante (2m) aromatique utilisée en confiserie. Meurt après la floraison.
588;Camomille Romaine;vegetable;direct;easy;low;veryHardy;none;perennial;5;0;0;0;3,4;3,4;6,7,8;;4, 9;;Léger.;Fleurs blanches en pompons. Tisane apaisante. Ne pas confondre avec la Matricaire (annuelle).
589;Hysope;vegetable;direct;easy;low;veryHardy;none;perennial;2;0;0;0;4;3,4,9;7,8;;3, 9;;Sec et caillouteux.;Arbrisseau aromatique à fleurs bleues. Plante médicinale ancienne.
590;Kiwaï;vegetable;partial;medium;medium;veryHardy;none;perennial;10;0;30;0;;11,3;9,1;;12, 1, 6;;Riche.;Mini kiwi à peau lisse qui se mange entier. Très résistant au froid.
591;Arroche;vegetable;partial;easy;medium;hardy;none;annual;5;0;0;0;3,4,5,6;;5,6,7,8;;;;Frais.;Grande plante aux feuilles rouges ou vertes, alternative à l'épinard. Monte vite en graines.
592;Scorsonère;vegetable;direct;easy;medium;veryHardy;none;perennial;5;0;0;0;3,4,5;;10,11,12,1,2,3;;;;Profond.;Racine à peau noire et chair blanche. Plus fine que le salsifis.
593;Pois Chiche;vegetable;direct;easy;low;semiHardy;none;annual;0;0;0;0;3,4,5;;7,8;;;;Sec et pauvre.;Plante méditerranéenne qui déteste l'humidité. 2 pois par gousse.
594;Marjolaine;vegetable;direct;medium;low;frostTender;none;annual;5;0;0;0;3,4,5;5;6,7,8,9;;4, 9;;Sec et drainant.;Souvent confondue avec l'Origan, mais elle craint le gel ! À rentrer l'hiver ou ressemer chaque année.
595;Basilic Thaï;vegetable;direct;medium;medium;frostTender;none;annual;3;0;15;0;3,4;5;6,7,8,9;;;;Riche et frais.;Tiges pourpres et goût épicé (anis/estragon). Indispensable pour les currys et soupes asiatiques.
596;Ciboulette de Chine;vegetable;partial;easy;medium;veryHardy;none;perennial;5;0;0;0;3,4;3,4;5,6,7,8,9,10;;5, 8;;Frais.;Différente de la ciboulette classique : feuilles plates, fleurs blanches et goût d'ail prononcé.
597;Sauge Ananas;vegetable;partial;easy;medium;frostTender;none;perennial;3;10;30;12;;5;6,7,8,9,10,11;;4, 9;;Riche.;Feuillage qui sent incroyablement l'ananas frais. Fleurs rouges comestibles en automne. À rentrer l'hiver.
598;Menthe Chocolat;vegetable;partial;easy;medium;veryHardy;none;perennial;3;10;30;12;;3,4;4,5,6,7,8,9;;5, 8;;Frais.;Tiges foncées, goût rappelant les 'After Eight'. Parfaite en pot pour ne pas envahir le jardin.
599;Oseille Sanguine;vegetable;partial;easy;medium;veryHardy;low;perennial;5;0;0;0;3,4;3,4;4,5,6,7,8,9;;5, 8;;Humifère.;Magnifique plante décorative (veines rouges) et comestible (jeunes feuilles en salade).
600;Agastache;vegetable;direct;easy;medium;hardy;none;perennial;5;0;0;0;3,4;4,5;6,7,8,9;;3, 9;;Drainant.;Goût anisé/réglisse. Épis mauves très appréciés des abeilles. Superbe en potée fleurie.
601;Shiso;vegetable;direct;medium;medium;frostTender;none;annual;3;0;15;0;4,5;5;7,8,9;;;;Riche.;Existe en vert ou pourpre. Goût unique (cumin/cannelle/menthe), star des sushis et sashimis.
602;Céleri à couper;vegetable;partial;easy;high;hardy;none;biennial;3;0;15;0;4,5;5;6,7,8,9,10,11;;;;Riche et humide.;Beaucoup plus facile en pot que le céleri-rave. On coupe les feuilles pour aromatiser les soupes.
603;Pimprenelle;vegetable;direct;easy;low;veryHardy;none;perennial;5;0;0;0;3,4;3,4,9;1,2,3,4,5,6,7,8,9,10,11,12;;5, 8;;Calcaire et sec.;Joli feuillage dentelé persistant. Goût surprenant de concombre frais.
604;Basilic (Grand Vert);vegetable;direct;medium;medium;frostTender;none;annual;2;0;15;0;3,4,5;5,6;6,7,8,9;;;;Riche et drainant.;En pot, il faut l'arroser souvent (le matin) sans jamais mouiller les feuilles. Pincer les fleurs dès leur apparition.
605;Persil (En Pot);vegetable;partial;medium;medium;hardy;low;biennial;3;10;30;0;3,4,5,6,7,8,9;3,4,5;1,2,3,4,5,6,7,8,9,10,11,12;;;;Riche.;A une racine pivot (longue) : il lui faut un pot profond, pas une jardinière plate. Tient bien l'hiver.
606;Thym (En Pot);vegetable;direct;medium;low;veryHardy;none;perennial;5;20;0;24;4,5;3,4,9,10;1,2,3,4,5,6,7,8,9,10,11,12;;4, 9;;Très drainant (Sable/Terreau).;En pot, l'ennemi est l'eau stagnante : pas de soucoupe ! Tailler après la floraison pour qu'il reste compact.
607;Romarin (En Pot);vegetable;direct;medium;low;hardy;none;perennial;5;20;0;24;;3,4,9,10;1,2,3,4,5,6,7,8,9,10,11,12;;4, 9;;Calcaire et drainant.;Préférer un pot en terre cuite pour que les racines respirent. Tailler le bois vert, jamais le vieux bois sec.
608;Ciboulette (En Pot);vegetable;partial;easy;medium;veryHardy;none;perennial;3;10;30;12;3,4;3,4;4,5,6,7,8,9,10;;5, 8;;Frais.;Couper régulièrement aux ciseaux pour stimuler la repousse. Disparaît en hiver pour mieux revenir.
609;Sauge Officinale (En Pot);vegetable;direct;easy;low;veryHardy;none;perennial;5;20;0;24;4;3,4,9;1,2,3,4,5,6,7,8,9,10,11,12;;4, 9;;Drainant.;Feuillage persistant. En pot, elle vieillit vite (3-4 ans) et devient ligneuse (bois sec).
610;Estragon (En Pot);vegetable;partial;medium;medium;hardy;none;perennial;3;0;30;24;;4,5;5,6,7,8,9;;4, 9;;Léger.;Il rentre en dormance l'hiver (plus de feuilles). Attention à ne pas jeter le pot, il repart au printemps !
611;Origan (En Pot);vegetable;direct;easy;low;veryHardy;none;perennial;5;20;0;24;3,4;3,4;6,7,8,9,10;;4, 9;;Sec et drainant.;Parfait pour les balcons plein sud. Les fleurs attirent les abeilles.
